Party,run_Few_shot_instruct_20250926_103055,run_category_scheme_20250925_094617,run_coding_instruct_20250926_103055,run_cot_instruct_20250926_103055,run_instruct_only_20250926_103055
afd,0.003,0.000,0.001,0.001,0.003
bsw,0.001,0.000,0.001,0.002,0.000
cdu,0.000,0.000,0.002,0.001,0.001
fdp,0.001,0.000,0.001,0.001,0.001
gruene,0.001,0.000,0.001,0.000,0.001
linke,0.001,0.000,0.000,0.000,0.001
spd,0.000,0.000,0.000,0.000,0.000
sswb,0.002,0.000,0.001,0.001,0.002
