Template,Party,N_Total,N_Valid,N_Error_Saving,N_Error_Not_All,N_NaN_Predictions,N_NaN_GroundTruth,Pct_Usable,Accuracy,Macro_F1,Micro_F1,Weighted_F1
run_cot_instruct_20250926_103055,gruene,3550,3447,0,0,0,103,97.1,0.0,0.0,0.0,0.0
run_cot_instruct_20250926_103055,linke,2449,2366,0,0,70,83,96.61,0.0321,0.0115,0.0321,0.0315
run_cot_instruct_20250926_103055,cdu,2392,2371,0,0,0,21,99.12,0.0,0.0,0.0,0.0
run_cot_instruct_20250926_103055,bsw,1354,1351,0,0,45,3,99.78,0.0489,0.0174,0.0489,0.0486
run_cot_instruct_20250926_103055,spd,2140,2105,0,0,98,35,98.36,0.0337,0.0107,0.0337,0.0324
run_cot_instruct_20250926_103055,fdp,1594,1554,0,0,0,40,97.49,0.0309,0.0103,0.0309,0.0258
run_cot_instruct_20250926_103055,sswb,2336,2268,0,0,73,68,97.09,0.0128,0.0081,0.0128,0.0077
run_cot_instruct_20250926_103055,afd,2069,2067,0,0,95,2,99.9,0.0198,0.011,0.0198,0.0167
